Initializing TensorFlow...
Running util_scripts.evaluate_metrics()...
Logging output to results/015-pgan-celeba-preset-v2-8gpus-fp16-GRAPH-HIST/metric-swd-16k.txt
Streaming data using dataset.TFRecordDataset...
Dataset shape = [3, 128, 128]
Dynamic range = [0, 255]
Label size    = 0
Initializing metrics.sliced_wasserstein.API...

Snapshot  Time_eval   SWDx1e3_128  SWDx1e3_64   SWDx1e3_32   SWDx1e3_16   SWDx1e3_avg  
---       ---         ---          ---          ---          ---          ---          
Reals     20m 25s     0.0000       0.0000       0.0000       0.0000       0.0000       
Reals2    20m 20s     1.5656       1.5661       1.4281       3.9843       2.1360       
5449      24m 16s     52.7234      10.9678      4.7270       11.9948      20.1032      
5389      23m 57s     49.7748      10.5315      4.6419       7.8913       18.2099      
5309      21m 16s     52.1372      10.8478      4.5765       8.1755       18.9342      
5229      21m 25s     50.8984      10.6678      4.5251       9.4850       18.8941      
5149      21m 29s     49.9786      11.3248      4.6220       8.2454       18.5427      
5069      21m 28s     47.3371      10.5994      4.3662       7.5486       17.4629      
4989      21m 26s     53.6941      10.8211      4.3602       8.5472       19.3556      
4909      21m 26s     48.2649      10.3237      4.7624       9.8198       18.2927      
4829      21m 27s     49.7586      8.6035       4.7879       13.8844      19.2586      
4749      21m 19s     46.4381      9.4871       6.1473       13.3706      18.8608      

Exiting...
